ERROR 2025-05-06 03:46:04,942 NE_RS_UNBLDRE: Unable to load application resource file /resources/undefined/index.html api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:46:32,969 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:46:33,531 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:46:33,546 NE_RS_UNBLDRE: Unable to load application resource file /resources/undefined/index.html api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:46:40,125 NE_RS_UNBLDRE: Unable to load application resource file /resources/undefined/index.html api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:47:33,349 NE_RS_UNBLDRE: Unable to load application resource file /resources/undefined/index.html api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:47:34,107 NE_RS_UNBLDRE: Unable to load application resource file /resources/undefined/index.html api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:47:34,459 NE_RS_UNBLDRE: Unable to load application resource file /resources/undefined/index.html api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:47:34,842 NE_RS_UNBLDRE: Unable to load application resource file /resources/undefined/index.html api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:48:41,740 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:48:41,741 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:48:49,540 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:48:49,540 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:48:50,315 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/blue-eyes.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:48:50,315 NE_RS_UNBLDRE: Unable to load application resource file /resources/images/dark-magician.jpg api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
